Activation log on 2014-December-10 (SIM cards activated)
089190136----[Mr Aaron Stewart](24/Jun/1971)(gqmvfv@live.com)(10 Simmons Street, Box Hill North, VIC 3129)(Tertiary education ID: 5350809)(Plan: FreedomNightsBonus)
089190128----[Mr Adam Muscat](19/Jan/1980)(vn2s4y@yahoo.com.au)(18 Andrew Street, Northcote, VIC 3070)(Tertiary education ID: 85631)(Plan: FreedomNightsBonus)
089190110----[Mr Adnan Hazimeh](23/Sep/1974)(jdallw@126.com)(58 Robinlee Avenue, Burwood East, VIC 3151)(Tertiary education ID: 3491782)(Plan: FreedomNightsBonus)
089197669----[Mr Adrienne Parisi](23/Jan/1995)(a8w4to@gmail.com)(8 Conrad Terrace, Taylors Hill, VIC 3037)(Tertiary education ID: 5141113)(Plan: FreedomNightsBonus)
089190102----[Mr Alan Lac](24/Feb/1985)(b7n33i@yahoo.com.au)(4 Sinns Avenue, Werribee, VIC 3030)(Tertiary education ID: 1256389)(Plan: FreedomNightsBonus)
089190094----[Mr Alexander Kolonyuk](11/May/1976)(o7bkv1@yeah.net)(23 Calder Highway, Diggers Rest, VIC 3427)(Tertiary education ID: 8903552)(Plan: FreedomNightsBonus)
089190185----[Mr Alison Devitt](13/Jul/1987)(f0zud3@hotmail.com)(5 Sheila Court, Thomastown, VIC 3074)(Tertiary education ID: 2732480)(Plan: FreedomNightsBonus)
089190086----[Mr Allan Smith](15/Jul/1987)(cv2jgi@bigpond.com)(55 Argyll Circuit, Melton West, VIC 3337)(Tertiary education ID: 3928869)(Plan: FreedomNightsBonus)
089190078----[Mr Ally Scott](2/Sep/1974)(tizbaw@gmail.com)(13A Hillcrest Avenue, Ferntree Gully, VIC 3156)(Tertiary education ID: 4660612)(Plan: FreedomNightsBonus)
089190060----[Mr Andrea Wesley](27/Jul/1990)(ym8vyr@live.com)(48 Mosman Close, Wantirna South, VIC 3152)(Tertiary education ID: 4413948)(Plan: FreedomNightsBonus)
8000010685230----[Mr Andrew Lopez](21/Jun/1995)(l2u4x4@126.com)(491 Springhill Road, Spring Hill, VIC 3444)(Tertiary education ID: 6992534)(Plan: FreedomNightsBonus)
8000010685222----[Mr Andrew Thomas](11/Jan/1991)(likhir@sohu.com)(487 Mt Alexander Road, Moonee Ponds, VIC 3039)(Tertiary education ID: 2475342)(Plan: FreedomNightsBonus)
8000010685206----[Mr Andy Chellappan](10/Oct/1974)(ogvybi@qq.com)(4 Nature Park Rise, Yarra Junction, VIC 3797)(Tertiary education ID: 7007127)(Plan: FreedomNightsBonus)
8000010685271----[Mr Anila Mayekar](25/Aug/1972)(pctc5m@yeah.net)(128 Easey Street, Collingwood, VIC 3066)(Tertiary education ID: 728279)(Plan: FreedomNightsBonus)
089197677----[Mr Anna Jones](1/Aug/1978)(rf8fz0@yahoo.com.au)(41 Trudewind Road, Wodonga, VIC 3690)(Tertiary education ID: 6384936)(Plan: FreedomNightsBonus)
